#Table1
objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237649918432116905,61,0,0.0489999987185001,0,0,0.0160000007599592,0.934000015258789
1237658614131982447,28,0,0.10700000077486,0,0,0,0.89300000667572
1237653652910244035,24,0.0419999994337559,0,0,0.0829999968409538,0,0.875
1237667914885431402,35,0.028999999165535,0.14300000667572,0,0,0.028999999165535,0.800000011920929
1237662224620191769,35,0,0.171000003814697,0,0.028999999165535,0,0.800000011920929
1237661874020221086,33,0,0,0.0299999993294477,0.0299999993294477,0.120999999344349,0.818000018596649
1237661874018648186,28,0,0.0359999984502792,0.10700000077486,0,0.0359999984502792,0.820999979972839
1237661874018648185,31,0,0,0.0320000015199184,0,0.0320000015199184,0.935000002384186
1237661874011897971,20,0.150000005960464,0,0,0.0500000007450581,0,0.800000011920929
1237661873486561292,23,0.0869999974966049,0.0869999974966049,0,0,0,0.825999975204468
1237661873483350038,25,0.0799999982118607,0,0,0.0399999991059303,0.0399999991059303,0.839999973773956
1237661873473585358,25,0.159999996423721,0,0,0,0.0399999991059303,0.800000011920929
1237661125617123446,63,0.0320000015199184,0,0.0160000007599592,0.063000001013279,0.063000001013279,0.824999988079071
1237663784209809611,28,0,0.0710000023245811,0,0.0710000023245811,0.0359999984502792,0.820999979972839
1237663782593888323,45,0.0439999997615814,0,0,0.0670000016689301,0.0219999998807907,0.866999983787537
1237654381975896224,31,0,0.0970000028610229,0,0.0649999976158142,0.0320000015199184,0.805999994277954
1237668504902369314,27,0.0740000009536743,0,0,0.0370000004768372,0.0740000009536743,0.814999997615814
1237667536396812297,21,0,0,0,0.0480000004172325,0,0.952000021934509
1237667782806340479,71,0.0140000004321337,0.0280000008642673,0.0140000004321337,0.0850000008940697,0.0280000008642673,0.830999970436096
1237667324325068877,39,0.0769999995827675,0,0.0260000005364418,0.0509999990463257,0,0.846000015735626
1237667255624728702,57,0.123000003397465,0,0,0.0179999992251396,0.0350000001490116,0.824999988079071
1237665442057420844,23,0,0.17399999499321,0,0,0,0.825999975204468
1237665441515962400,34,0.118000000715256,0,0.028999999165535,0,0.028999999165535,0.824000000953674
1237665351320731809,35,0.028999999165535,0,0.114000000059605,0,0,0.85699999332428
1237665129093595181,43,0,0.0230000000447035,0,0,0,0.976999998092651
1237662662143640013,69,0.028999999165535,0.0719999969005585,0,0.0719999969005585,0,0.825999975204468
1237662698112483657,27,0.0740000009536743,0,0,0.0740000009536743,0,0.851999998092651
1237661352705458186,68,0.0149999996647239,0.0149999996647239,0,0,0.0149999996647239,0.955999970436096
1237659132216934520,38,0.0260000005364418,0.0260000005364418,0.0529999993741512,0,0.0529999993741512,0.842000007629395
1237657856073269409,63,0.14300000667572,0.0320000015199184,0,0.0160000007599592,0,0.810000002384186
1237657855537053803,27,0,0,0,0.0370000004768372,0,0.962999999523163
1237657402420559922,66,0.0299999993294477,0,0.0149999996647239,0,0.120999999344349,0.833000004291534
1237657776616112282,29,0,0,0.0689999982714653,0,0.034000001847744,0.897000014781952
1237666339190014170,31,0.194000005722046,0,0,0,0,0.805999994277954
1237666407381598382,60,0.0329999998211861,0.017000000923872,0.0500000007450581,0.017000000923872,0.017000000923872,0.866999983787537
1237656562753864032,23,0.0430000014603138,0,0,0,0,0.957000017166138
1237656562746392685,31,0,0,0,0.0320000015199184,0.160999998450279,0.805999994277954
1237655129846579606,32,0.0309999994933605,0,0,0,0.0309999994933605,0.938000023365021
1237655106765324485,36,0.0829999968409538,0.0280000008642673,0,0,0.0560000017285347,0.833000004291534
1237654652033040392,34,0,0.0879999995231628,0,0.028999999165535,0.028999999165535,0.852999985218048
1237670956255608960,54,0.0560000017285347,0,0,0.0560000017285347,0.0370000004768372,0.851999998092651
1237652946384977971,50,0.0199999995529652,0.0199999995529652,0,0,0,0.959999978542328
1237652946384977970,30,0.0329999998211861,0,0,0.0329999998211861,0.0329999998211861,0.899999976158142
1237652615668891742,40,0.0500000007450581,0,0,0.100000001490116,0.0500000007450581,0.800000011920929
1237671766926295230,52,0,0.115000002086163,0,0,0.0769999995827675,0.808000028133392
1237671766926295303,38,0,0,0.0529999993741512,0.0529999993741512,0.0260000005364418,0.867999970912933
1237650795683250344,33,0,0,0.090999998152256,0.0299999993294477,0,0.879000008106232
1237650760785723531,29,0.034000001847744,0.034000001847744,0.034000001847744,0,0,0.897000014781952
1237648704068649961,27,0.111000001430511,0,0,0,0.0370000004768372,0.851999998092651
1237648704068649960,37,0.135000005364418,0,0,0.0270000007003546,0.0270000007003546,0.810999989509583
1237648704067338300,28,0,0,0,0.0710000023245811,0.0710000023245811,0.85699999332428
1237648720167502082,20,0,0.0500000007450581,0.0500000007450581,0.0500000007450581,0,0.850000023841858
1237662301903192112,33,0.0299999993294477,0,0,0,0.090999998152256,0.879000008106232
1237662195070795819,38,0.131999999284744,0,0,0,0,0.867999970912933
1237661972269498567,39,0,0.153999999165535,0,0,0,0.846000015735626
1237661950805410010,23,0.0430000014603138,0.0430000014603138,0,0.0430000014603138,0,0.870000004768372
1237661950801936395,27,0.0370000004768372,0,0,0,0.148000001907349,0.814999997615814
1237661850385186904,64,0,0,0.0469999983906746,0,0.0160000007599592,0.938000023365021
1237661358616084553,35,0.0570000000298023,0,0.0570000000298023,0,0,0.885999977588654
1237661357547716685,64,0.0309999994933605,0.0309999994933605,0.0160000007599592,0,0,0.921999990940094
1237660772346560687,29,0,0,0.103000000119209,0,0,0.897000014781952
1237657630063394929,27,0,0.0740000009536743,0,0,0,0.925999999046326
1237657630063394928,32,0,0.156000003218651,0.0309999994933605,0,0,0.811999976634979
1237657629510074599,26,0,0,0,0,0.0379999987781048,0.962000012397766
1237655749381586979,27,0,0.0370000004768372,0,0,0.0740000009536743,0.888999998569489
1237655747772875072,43,0.0230000000447035,0.0230000000447035,0,0.0230000000447035,0,0.930000007152557
